Sütun1;id;fiyat;oda_salon_sayisi;net_m2;bina_yasi;isinma_tipi;krediye_uygunluk;bulundugu_kat;banyo_sayisi;ilce;nüfus;eðitim;okuma_yazma_bilmeyen
4955;4955;295000;4;100;30;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
3828;3828;539000;4;125;22;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
705;705;330000;4;100;0;Merkezi(PayÖlçer);Uygun deðil;3. Kat;1;Sincan;549108;Lise;1,44
542;542;200000;4;90;1;Kombi;Uygun;Kot 2;1;Mamak;669465;Lise;1,9
2556;2556;425000;3;115;22;Kombi;Uygun;3. Kat;1;Keçiören;;Lise;1,43
622;622;475000;4;115;25;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
2283;2283;390000;4;130;0;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
4722;4722;685000;4;170;19;Kombi;Uygun;9. Kat;1;Keçiören;938565;Lise;1,43
3593;3593;435000;4;120;25;Kombi;Uygun;Yüksek Giriþ;2;Çankaya;925828;Lisans;0,7
3001;3001;2500000;7;280;12;Merkezi;Uygun;15. Kat;3;Çankaya;925828;Lisans;0,7
1005;1005;289000;4;130;14;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
3222;3222;1350000;5;185;10;Merkezi(PayÖlçer);Uygun;7. Kat;2;Keçiören;938565;Lise;1,43
2771;2771;365000;4;145;1;Kombi;Uygun;5. Kat;1;Sincan;549108;Lise;1,44
3849;3849;220000;4;120;16;Kombi;Uygun;Bahçe Katý;1;Keçiören;938565;Lise;1,43
2047;2047;795000;4;115;25;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1902;1902;295000;4;100;40;Merkezi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
1110;1110;385000;4;115;25;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
3339;3339;1285000;5;180;14;Merkezi;Uygun;Kot 1;2;Keçiören;938565;Lise;1,43
3072;3072;725000;3;80;5;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
2800;2800;279000;4;120;17;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
1894;1894;184000;3;95;12;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
3536;3536;315000;4;120;23;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
3815;3815;425000;4;128;22;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
3196;3196;315000;4;110;20;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
482;482;479000;4;130;22;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
809;809;550000;4;120;20;Merkezi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
222;222;315000;4;115;0;Merkezi(PayÖlçer);Uygun;2. Kat;1;Sincan;549108;Lise;1,44
3331;3331;720000;3;75;0;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
1999;1999;460000;4;119;0;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
3874;3874;530000;4;125;18;Merkezi;Uygun;7. Kat;1;Çankaya;925828;Lisans;0,7
1629;1629;235000;3;85;9;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
4687;4687;395000;4;120;22;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
2658;2658;2,95E+05;2;45;0;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
3492;3492;5,45E+05;4;120;25;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
3955;3955;487000;5;135;17;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
3557;3557;350000;2;40;0;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
71;71;775000;4;120;18;Merkezi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
1815;1815;274000;4;115;20;Kombi;Uygun;3. Kat;1;Sincan;549108;Lise;1,44
4387;4387;1350000;5;165;9;Merkezi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
1616;1616;203000;3;90;25;Kombi;Uygun;Giriþ Katý;1;Keçiören;938565;Lise;1,43
3995;3995;490000;4;120;35;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
3834;3834;875000;4;135;0;Merkezi(PayÖlçer);Uygun;5. Kat;2;Keçiören;938565;Lise;1,43
1244;1244;765000;8;230;35;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
3997;3997;650000;3;91;50;Merkezi;Uygun deðil;1. Kat;1;Keçiören;938565;Lise;1,43
3758;3758;4,35E+05;4;120;22;Kombi;Uygun;Yüksek Giriþ;2;cankaya;925828;Lisans;0,7
3703;3703;580000;3;75;0;Merkezi(PayÖlçer);Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
1336;1336;645000;4;120;14;Kombi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
1058;1058;775000;4;110;36;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2293;2293;349000;6;230;12;Kombi;Uygun;Teras Katý;2;Sincan;549108;Lise;1,44
2483;2483;5,68E+05;4;130;25;Kombi;Uygun;2. Kat;2;Keçiören;938565;Lise;1,43
2191;2191;3750000;6;325;15;KatKaloriferi;Uygun;Ara Kat;3;Keçiören;938565;Lise;1,43
3664;3664;385000;3;-33;25;Kombi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
1960;1960;240000;4;120;17;Kombi;Uygun;Bahçe Katý;1;Sincan;549108;Lise;1,44
133;133;530000;4;125;18;Merkezi;Uygun;7. Kat;1;Keçiören;938565;Lise;1,43
357;357;370000;4;117;0;Merkezi(PayÖlçer);Uygun;2. Kat;1;Sincan;549108;Lise;1,44
4735;4735;265000;3;95;25;Merkezi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
2149;2149;740000;3;100;0;Merkezi(PayÖlçer);Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
1651;1651;3,65E+05;4;103;0;Merkezi(PayÖlçer);Uygun;5. Kat;1;Sincan;549108;Lise;1,44
2448;2448;600000;4;120;25;Kombi;Uygun;9. Kat;1;Çankaya;925828;Lisans;0,7
3852;3852;479000;4;130;22;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
261;261;700000;4;90;0;Kombi;Uygun;Yüksek Giriþ;2;Keçiören;938565;Lise;1,43
4757;4757;215000;4;115;20;Kombi;Uygun;1. Kat;1;Sincan;549108;Lise;1,44
1421;1421;445000;4;115;25;Merkezi;Uygun;2. Kat;1;Keçiören;938565;Lise;1,43
2812;2812;439000;4;125;25;Kombi;Uygun;Yüksek Giriþ;2;Keçiören;938565;Lise;1,43
1473;1473;260000;4;100;45;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
3137;3137;495000;4;95;27;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2937;2937;550000;4;120;20;Merkezi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
4227;4227;1050000;6;280;14;Kombi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
4827;4827;659000;4;125;26;Merkezi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
2449;2449;360000;4;120;0;Kombi;Uygun;2. Kat;2;Sincan;549108;Lise;1,44
2778;2778;549000;4;135;1;Merkezi(PayÖlçer);Uygun;2. Kat;2;Sincan;549108;Lise;1,44
2350;2350;6,50E+05;4;145;14;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
4481;4481;375000;4;120;20;Kombi;Uygun;Kot 1;2;Keçiören;938565;Lise;1,43
4211;4211;3,95E+05;4;120;5;Kombi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
1712;1712;475000;4;100;35;Kombi;Uygun;5. Kat;1;Keçiören;938565;Lise;1,43
2156;2156;650000;3;80;25;Merkezi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
2690;2690;147500;3;80;26;Kombi;Uygun;Giriþ Katý;1;Sincan;549108;Lise;1,44
3255;3255;1600000;5;187;0;Kombi;Uygun deðil;6. Kat;2;Çankaya;925828;Lisans;0,7
366;366;289000;4;130;30;Merkezi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2629;2629;625000;4;120;10;Kombi;Uygun;Ara Kat;2;Çankaya;925828;Lisans;0,7
882;882;385000;4;120;28;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
535;535;725000;4;126;18;Kombi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
2442;2442;205000;4;115;25;Kombi;Uygun;4. Kat;1;Sincan;549108;Lise;1,44
20;20;625000;6;190;12;Kombi;Uygun;4. Kat;3;Çankaya;925828;Lisans;0,7
1984;1984;345500;4;135;0;Kombi;Uygun;1. Kat;2;Sincan;549108;Lise;1,44
2004;2004;1600000;4;133;2;Merkezi(PayÖlçer);Uygun;12. Kat;2;Çankaya;925828;Lisans;0,7
2912;2912;450000;3;95;32;Merkezi;Uygun;Bahçe Katý;1;Çankaya;925828;Lisans;0,7
1104;1104;685;4;110;3;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
1222;1222;445000;3;65;5;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
4866;4866;725000;4;126;18;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2184;2184;745000;6;190;24;Kombi;Uygun;3. Kat;2;Çankaya;925828;Lisans;0,7
689;689;775000;4;125;20;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
2303;2303;450000;4;120;20;Merkezi;Uygun;1. Kat;1;Çankaya;925828;Lisans;0,7
1643;1643;400000;3;80;35;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
1298;1298;349000;4;125;10;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
3071;3071;175000;4;110;23;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
2221;2221;5,10E+05;4;135;5;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
2263;2263;1270000;6;250;18;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
3729;3729;175000;4;110;25;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
909;909;437000;4;110;20;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
3927;3927;620000;3;110;0;Merkezi(PayÖlçer);Uygun;4. Kat;2;Çankaya;925828;Lisans;0,7
4496;4496;235000;3;90;25;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
4330;4330;255000;4;128;1;Kombi;Uygun;2. Kat;1;Sincan;549108;Lise;1,44
2565;2565;1990000;6;230;15;Merkezi(PayÖlçer);Uygun;5. Kat;3;Keçiören;938565;Lise;1,43
4265;4265;875000;5;220;0;Kombi;Uygun;2. Kat;3;Keçiören;938565;Lise;1,43
760;760;225000;4;100;15;Kombi;Uygun;5. Kat;1;Sincan;549108;liS3;1,44
2222;2222;1850000;5;165;15;Merkezi(PayÖlçer);Uygun;1. Kat;2;Keçiören;938565;Lise;1,43
3167;3167;485000;4;127;1;Kombi;Uygun;7. Kat;2;Sincan;549108;Lise;1,44
2221;2221;510000;4;135;5;Kombi;Uygun;1. Kat;1;Keçiören;938565;Lise;1,43
727;727;630000;4;134;0;Merkezi(PayÖlçer);Uygun;6. Kat;2;Sincan;549108;Lise;1,44
1716;1716;589000;4;130;22;Kombi;Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
1642;1642;5,95E+05;4;120;40;Merkezi;Uygun;4. Kat;1;Çankaya;925828;Lisans;0,7
1539;1539;345000;4;115;20;Kombi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
912;912;385000;4;110;25;Kombi;Uygun;Yüksek Giriþ;1;Keçiören;938565;Lise;1,43
3618;;485000;4;125;13;Kombi;Uygun;3. Kat;1;Çankaya;925828;Lisans;0,7
2762;2762;364000;4;145;12;Kombi;Uygun;Kot 1;1;Çankaya;925828;Lisans;0,7
2458;2458;570000;7;181;4;Kombi;Uygun;En Üst Kat;2;Çankaya;925828;Lisans;0,7
2557;2557;395000;3;90;22;Merkezi;Uygun;4. Kat;1;Keçiören;938565;Lise;1,43
617;617;900000;7;220;12;Kombi;Uygun;3. Kat;2;Keçiören;938565;Lise;1,43
2562;2562;133000;4;115;20;Kombi;Uygun;Yüksek Giriþ;1;Sincan;549108;Lise;1,44
4629;4629;449000;4;110;20;Kombi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
4824;4824;198000;4;95;16;Kombi;Uygun;Giriþ Katý;1;Çankaya;925828;Lisans;0,7
2476;2476;387000;4;128;20;Kombi;Uygun;Kot 1;1;Keçiören;938565;Lise;1,43
3936;3936;700000;5;150;0;Kombi;Uygun;Ara Kat;2;Çankaya;925828;Lisans;0,7
4879;4879;745000;9;240;20;Kombi;Uygun;Giriþ Katý;3;Çankaya;925828;Lisans;0,7
2957;2957;1100000;6;300;12;Kombi;Uygun;4. Kat;2;Keçiören;938565;Lise;1,43
2913;2913;810000;3;110;10;Merkezi(PayÖlçer);Uygun;20. Kat;2;Keçiören;938565;Lise;1,43
1589;1589;560000;4;110;35;Merkezi;Uygun;2. Kat;1;Çankaya;925828;Lisans;0,7
1200;1200;400000;4;150;35;Merkezi;Uygun;Kot 2;1;Çankaya;925828;Lisans;0,7
1989;1989;700000;4;135;22;Merkezi;Uygun;3. Kat;1;Keçiören;938565;Lise;1,43
767;767;359000;4;115;20;Kombi;Uygun;Yüksek Giriþ;1;Çankaya;925828;Lisans;0,7
2451;2451;219000;3;98;25;Kombi;Uygun;Kot 3;1;Çankaya;925828;Lisans;0,7
337;337;1295000;3;110;5;Merkezi(PayÖlçer);Uygun;1. Kat;2;Çankaya;925828;Lisans;0,7
4505;4505;735000;5;160;12;Kombi;Uygun;1. Kat;2;Keçiören;938565;Lise;
3624;3624;4,75E+06;6;380;20;Kombi;Uygun;Zemin;3;Keçiören;938565;Lise;1,43
